X,Y,COLOUR,OBJNAM
12.0961116,54.125415,4,53
12.096875,54.1253917,3,38
12.0965933,54.1196133,3,42
12.09698,54.161735,4,WW1
12.1012334,54.1610761,4,27
12.095715,54.1209183,4,57/M1
12.0953933,54.152455,4,35
12.0983867,54.156105,4,33
12.0957817,54.154715,4,WW3a
12.09559,54.1536083,"4,3,4",WW 3b/MG 2
12.1437772,54.0944389,3,68
12.1347499,54.0939527,3,64
12.1154216,54.0971124,3,56
12.09555,54.1113666,3,B4
12.0965,54.1127333,4,B3
12.097035,54.112545,3,B2
12.0950166,54.11155,4,B5
12.1397588,54.1731415,4,SC11
12.102135,54.101035,4,NW7
12.1038784,54.1018075,4,NW5
12.1046608,54.1024951,4,NW3
12.10439,54.105272,3,50
12.0890868,54.1417492,4,SM3
12.0965511,54.1334346,3,34
12.0902354,54.1416201,3,SM4
12.1361872,54.1692116,4,SC9
12.0978516,54.1596117,3,WW4a
12.089333,54.189315,3,18
12.062673,54.231377,4,7
12.090105,54.183829,4,19
12.084426,54.193897,4,15
12.08658,54.194405,3,16
12.087291,54.188949,4,17
12.1414159,54.0939951,3,66
12.1150933,54.09676,4,75
12.104207,54.104591,4,67/NW1
12.11807,54.0955367,3,58
12.1476094,54.0942581,4,77
12.1481531,54.0944594,3,70
12.1003816,54.1101384,3,48
12.10523,54.1042967,3,52
12.1381496,54.160086,4,Ch3
12.1381199,54.1607844,3,Ch4
12.065935,54.231967,3,8
12.08154,54.20357,3,14
12.079041,54.203082,4,13
12.076369,54.212978,3,12
12.073646,54.212429,4,11
12.068241,54.221918,4,9
12.0711251,54.2225125,3,10
12.092188,54.184205,3,20
12.0926616,54.1793466,4,21
12.114266,54.160552,3,SC4
12.1304281,54.1605901,3,Ch2
12.1080333,54.1604633,3,30/SC2
12.1291928,54.1616019,4,SC5
12.1320668,54.1654419,3,SC10
12.100489,54.158581,4,31
12.1002233,54.159505,4,29
12.1236956,54.0943827,3,60
12.110629,54.100466,3,54
12.1127433,54.098425,4,71/73
12.1067966,54.10263,"4,3,4",69/NW2
12.0946984,54.1797417,3,22
12.0932936,54.136628,3,S2a
12.09128,54.1370074,4,S3
12.102064,54.162696,4,25
12.104025,54.163072,3,28
12.0947506,54.1429201,4,41/SM1
12.0954368,54.1471643,4,39
12.0946596,54.149393,4,37
12.0972033,54.155835,3,WW6
12.0965301,54.1596757,4,WW1a
12.0981983,54.1616266,3,WW4
12.0944513,54.136244,"4,3,4",47/S2
12.0941576,54.13722,4,45/S1
12.0961621,54.1350875,3,32
12.0954021,54.1350349,4,49
12.09723,54.129759,3,36
12.0964437,54.1297075,4,51
12.0991333,54.16785,"4,3,4",23/WW2
12.0981733,54.1735683,3,24
12.10117,54.168245,3,26
12.1357127,54.169417,3,SC12
12.1393158,54.1733198,3,SC14
12.099818,54.109965,4,63
12.0944834,54.1181666,4,M3
12.0967892,54.1171792,3,44
12.1280811,54.0939075,3,62
12.0981733,54.1139433,3,46
12.1011767,54.107915,4,65
12.0946928,54.1424258,"4,3,4",43/SM2
12.1305069,54.1599249,4,Ch1
12.128724,54.1617638,3,SC8
12.122658,54.160745,3,SC6
12.09505,54.1170834,3,M4
12.0960167,54.1171333,"4,3,4",59/M2
12.0923199,54.1152345,3,M6
12.097553,54.113623,4,61/B1
12.0927166,54.11685,4,M5
12.0917132,54.1165858,4,M7
12.132547,54.1652821,4,SC7
12.0959737,54.1566723,4,WW 3
